book,chapter_order,heading_id,section_type,pov,scene_idx,paragraph_idx,n_words,text,neg,neu,pos,compound
The Way of Kings,1,prelude,prelude,Kalak,1,14,54,"The figure in white and blue glanced toward him. Even after all these centuries, Jezrien looked young, like a man barely into his thirtieth year. His short black beard was neatly trimmed, though his once-fine clothing was scorched and stained with blood. He folded his arms behind his back as he turned to Kalak.",0.0,0.914,0.086,0.5994
The Way of Kings,1,prelude,prelude,Kalak,1,15,10,"""What is this, Jezrien?"" Kalak asked. ""Where are the others?""",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,16,40,"""Departed."" Jezrien's voice was calm, deep, regal. Though he hadn't worn a crown in centuries, his royal manner lingered. He always seemed to know what to do. ""You might call it a miracle. Only one of us died this time.""",0.076,0.756,0.168,0.5248
The Way of Kings,1,prelude,prelude,Kalak,1,17,10,"""Talenel,"" Kalak said. His was the only Blade unaccounted for.",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,18,10,"""Yes. He died holding that passage by the northern waterway.""",0.252,0.559,0.189,-0.2263
The Way of Kings,1,prelude,prelude,Kalak,1,19,41,"Kalak nodded. Taln had a tendency to choose seemingly hopeless fights and win them. He also had a tendency to die in the process. He would be back now, in the place where they went between Desolations. The place of nightmares.",0.19,0.734,0.075,-0.7003
The Way of Kings,1,prelude,prelude,Kalak,1,20,30,"Kalak found himself shaking. When had he become so weak? ""Jezrien, I can't return this time."" Kalak whispered the words, stepping up and gripping the other man's arm. ""I *can't*.""",0.163,0.837,0.0,-0.6642
The Way of Kings,1,prelude,prelude,Kalak,1,21,61,"Kalak felt something within him break at the admission. How long had it been? Centuries, perhaps millennia, of torture. It was so hard to keep track. Those fires, those hooks, digging into his flesh anew each day. Searing the skin off his arm, then burning the fat, then driving to the bone. He could smell it. Almighty, he could *smell* it!",0.093,0.907,0.0,-0.7234
The Way of Kings,1,prelude,prelude,Kalak,1,22,5,"""Leave your sword,"" Jezrien said.",0.231,0.769,0.0,-0.0516
The Way of Kings,1,prelude,prelude,Kalak,1,23,1,"""What?""",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,24,36,"Jezrien nodded to the ring of weapons. ""I was chosen to wait for you. We weren't certain if you had survived. A ... a decision has been made. It is time for the Oathpact to end.""",0.115,0.805,0.08,-0.1063
The Way of Kings,1,prelude,prelude,Kalak,1,25,11,"Kalak felt a sharp stab of horror. ""What will that do?""",0.455,0.545,0.0,-0.8176
The Way of Kings,1,prelude,prelude,Kalak,1,26,31,"""Ishar believes that so long as there is one of us still bound to the Oathpact, it may be enough. There is a chance we might end the cycle of Desolations.""",0.0,0.938,0.062,0.25
The Way of Kings,1,prelude,prelude,Kalak,1,27,48,"Kalak looked into the immortal king's eyes. Black smoke rose from a small patch to their left. Groans of the dying haunted them from behind. There, in Jezrien's eyes, Kalak saw anguish and grief. Perhaps even cowardice. This was a man hanging from a cliff by a thread.",0.181,0.783,0.036,-0.8481
The Way of Kings,1,prelude,prelude,Kalak,1,28,12,"*Almighty above*, Kalak thought. *You're broken too, aren't you?* They all were.",0.22,0.78,0.0,-0.4767
The Way of Kings,1,prelude,prelude,Kalak,1,29,16,"Kalak turned and walked to the side, where a low ridge overlooked part of the battlefield.",0.309,0.691,0.0,-0.5859
The Way of Kings,1,prelude,prelude,Kalak,1,30,57,"There were so many corpses, and among them walked the living. Men in primitive wraps, carrying spears topped by bronze heads. Juxtaposed between them were others in gleaming plate armor. One group walked past, four men in their ragged tanned skins or shoddy leather joining a powerful figure in beautiful silver plate, amazingly intricate. Such a contrast.",0.0,0.863,0.137,0.8221
The Way of Kings,1,prelude,prelude,Kalak,1,31,5,Jezrien stepped up beside him.,0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,32,17,"""They see us as divinities,"" Kalak whispered. ""They rely upon us, Jezrien. We're all that they have.""",0.0,0.851,0.149,0.4215
The Way of Kings,1,prelude,prelude,Kalak,1,33,8,"""They have the Radiants. That will be enough.""",0.0,0.761,0.239,0.296
The Way of Kings,1,prelude,prelude,Kalak,1,34,24,"Kalak shook his head. ""He will not remain bound by this. The enemy. He will find a way around it. You know he will.""",0.182,0.818,0.0,-0.5994
The Way of Kings,1,prelude,prelude,Kalak,1,35,9,"""Perhaps."" The king of Heralds offered no further explanation.",0.216,0.784,0.0,-0.296
The Way of Kings,1,prelude,prelude,Kalak,1,36,17,"""And Taln?"" Kalak asked. *The flesh burning. The fires. The pain over and over and over ...*",0.171,0.829,0.0,-0.5106
The Way of Kings,1,prelude,prelude,Kalak,1,37,33,"""Better that one man should suffer than ten,"" Jezrien whispered. He seemed so cold. Like a shadow caused by heat and light falling on someone honorable and true, casting this black imitation behind.",0.116,0.613,0.272,0.7832
The Way of Kings,1,prelude,prelude,Kalak,1,38,62,"Jezrien walked back to the ring of swords. His own Blade formed in his hands, appearing from mist, wet with condensation. ""It has been decided, Kalak. We will go our ways, and we will not seek out one another. Our Blades must be left. The Oathpact ends now."" He lifted his sword and rammed it into the stone with the other seven.",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,39,31,"Jezrien hesitated, looking at the sword, then bowed his head and turned away. As if ashamed. ""We chose this burden willingly. Well, we can choose to drop it if we wish.""",0.267,0.615,0.118,-0.7248
The Way of Kings,1,prelude,prelude,Kalak,1,40,16,"""What do we tell the people, Jezrien?"" Kalak asked. ""What will they say of this day?""",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,41,28,"""It's simple,"" Jezrien said, walking away. ""We tell them that they finally won. It's an easy enough lie. Who knows? Maybe it will turn out to be true.""",0.0,0.727,0.273,0.8555
The Way of Kings,1,prelude,prelude,Kalak,1,42,34,"Kalak watched Jezrien depart across the burned landscape. Finally, he summoned his own Blade and slammed it into the stone beside the other eight. He turned and walked in the direction opposite from Jezrien.",0.0,1.0,0.0,0.0
The Way of Kings,1,prelude,prelude,Kalak,1,43,27,"And yet, he could not help glancing back at the ring of swords and the single open spot. The place where the tenth sword should have gone.",0.08,0.92,0.0,-0.3089
The Way of Kings,1,prelude,prelude,Kalak,1,44,12,The one of them who was lost. The one they had abandoned.,0.346,0.654,0.0,-0.6486
The Way of Kings,1,prelude,prelude,Kalak,1,45,6,"*Forgive us*, Kalak thought, then left.",0.0,0.704,0.296,0.2732
The Way of Kings,2,prologue,prologue,Szeth,1,1,36,"*""The love of men is a frigid thing, a mountain stream only three steps from the ice. We are his. Oh Stormfather ... we are his. It is but a thousand days, and the Everstorm comes.""*",0.0,0.931,0.069,0.3818
The Way of Kings,2,prologue,prologue,Szeth,1,2,35,"---Collected on the first day of the week Palah of the month Shash of the year 1171, thirty-one seconds before death. Subject was a darkeyed pregnant woman of middle years. The child did not survive.",0.1,0.9,0.0,-0.5994
The Way of Kings,2,prologue,prologue,Szeth,1,3,39,"Szeth-son-son-Vallano, Truthless of Shinovar, wore white on the day he was to kill a king. The white clothing was a Parshendi tradition, foreign to him. But he did as his masters required and did not ask for an explanation.",0.07,0.93,0.0,-0.431
The Way of Kings,2,prologue,prologue,Szeth,1,4,80,"He sat in a large stone room, baked by enormous firepits that cast a garish light upon the revelers, causing beads of sweat to form on their skin as they danced, and drank, and yelled, and sang, and clapped. Some fell to the ground red-faced, the revelry too much for them, their stomachs proving to be inferior wineskins. They looked as if they were dead, at least until their friends carried them out of the feast hall to waiting beds.",0.08,0.884,0.036,-0.5994
The Way of Kings,2,prologue,prologue,Szeth,1,5,64,"Szeth did not sway to the drums, drink the sapphire wine, or stand to dance. He sat on a bench at the back, a still servant in white robes. Few at the treaty-signing celebration noticed him. He was just a servant, and Shin were easy to ignore. Most out here in the East thought Szeth's kind were docile and harmless. They were generally right.",0.035,0.847,0.117,0.7003
The Way of Kings,2,prologue,prologue,Szeth,1,6,99,"The drummers began a new rhythm. The beats shook Szeth like a quartet of thumping hearts, pumping waves of invisible blood through the room. Szeth's masters---who were dismissed as savages by those in more civilized kingdoms---sat at their own tables. They were men with skin of black marbled with red. Parshendi, they were named---cousins to the more docile servant peoples known as parshmen in most of the world. An oddity. They did not call themselves Parshendi; this was the Alethi name for them. It meant, roughly, ""parshmen who can think."" Neither side seemed to see that as an insult.",0.07,0.87,0.059,-0.0772
The Way of Kings,2,prologue,prologue,Szeth,1,7,44,"The Parshendi had brought the musicians. At first, the Alethi lighteyes had been hesitant. To them, drums were base instruments of the common, darkeyed people. But wine was the great assassin of both tradition and propriety, and now the Alethi elite danced with abandon.",0.103,0.788,0.109,0.3182
The Way of Kings,2,prologue,prologue,Szeth,1,8,121,"Szeth stood and began to pick his way through the room. The revelry had lasted long; even the king had retired hours ago. But many still celebrated. As he walked, Szeth was forced to step around Dalinar Kholin---the king's own brother---who slumped drunken at a small table. The aging but powerfully built man kept waving away those who tried to encourage him to bed. Where was Jasnah, the king's daughter? Elhokar, the king's son and heir, sat at the high table, ruling the feast in his father's absence. He was in conversation with two men, a dark-skinned Azish man who had an odd patch of pale skin on his cheek and a thinner, Alethi-looking man who kept glancing over his shoulder.",0.051,0.88,0.069,0.5499
The Way of Kings,2,prologue,prologue,Szeth,1,9,57,"The heir's feasting companions were unimportant. Szeth stayed far from the heir, skirting the sides of the room, passing the drummers. Musicspren zipped through the air around them, the tiny spirits taking the form of spinning translucent ribbons. As Szeth passed the drummers, they noted him. They would withdraw soon, along with all of the other Parshendi.",0.039,0.961,0.0,-0.3182
The Way of Kings,2,prologue,prologue,Szeth,1,10,34,They did not seem offended. They did not seem angry. And yet they were going to break their treaty of only a few hours. It made no sense. But Szeth did not ask questions.,0.045,0.865,0.09,0.1583
The Way of Kings,2,prologue,prologue,Szeth,1,11,92,"At the edge of the room, he passed rows of unwavering azure lights that bulged out where wall met floor. They held sapphires infused with Stormlight. Profane. How could the men of these lands use something so sacred for mere illumination? Worse, the Alethi scholars were said to be close to creating new Shardblades. Szeth hoped that was just wishful boasting. For if it *did* happen, the world would be changed. Likely in a way that ended with people in all countries---from distant Thaylenah to towering Jah Keved---speaking Alethi to their children.",0.031,0.922,0.048,0.1779
The Way of Kings,2,prologue,prologue,Szeth,1,12,51,"They were a grand people, these Alethi. Even drunk, there was a natural nobility to them. Tall and well made, the men dressed in dark silk coats that buttoned down the sides of the chest and were elaborately embroidered in silver or gold. Each one looked a general on the field.",0.042,0.825,0.133,0.6369
The Way of Kings,2,prologue,prologue,Szeth,1,13,48,"The women were even more splendid. They wore grand silk dresses, tightly fitted, the bright colors a contrast to the dark tones favored by the men. The left sleeve of each dress was longer than the right one, covering the hand. Alethi had an odd sense of propriety.",0.038,0.697,0.265,0.9286
The Way of Kings,2,prologue,prologue,Szeth,1,14,40,"Their pure black hair was pinned up atop their heads, either in intricate weavings of braids or in loose piles. It was often woven with gold ribbons or ornaments, along with gems that glowed with Stormlight. Beautiful. Profane, but beautiful.",0.035,0.77,0.195,0.8151
The Way of Kings,2,prologue,prologue,Szeth,1,15,72,"Szeth left the feasting chamber behind. Just outside, he passed the doorway into the Beggars' Feast. It was an Alethi tradition, a room where some of the poorest men and women in the city were given a feast complementing that of the king and his guests. A man with a long grey and black beard slumped in the doorway, smiling foolishly---though whether from wine or a weak mind, Szeth could not tell.",0.112,0.837,0.051,-0.7184
The Way of Kings,2,prologue,prologue,Szeth,1,16,89,"""Have you seen me?"" the man asked with slurred speech. He laughed, then began to speak in gibberish, reaching for a wineskin. So it was drink after all. Szeth brushed by, continuing past a line of statues depicting the Ten Heralds from ancient Vorin theology. Jezerezeh, Ishi, Kelek, Talenelat. He counted off each one, and realized there were only nine here. One was conspicuously missing. Why had Shalash's statue been removed? King Gavilar was said to be very devout in his Vorin worship. Too devout, by some people's standards.",0.023,0.899,0.078,0.6322
The Way of Kings,2,prologue,prologue,Szeth,1,17,56,"The hallway here curved to the right, running around the perimeter of the domed palace. They were on the king's floor, two levels up, surrounded by rock walls, ceiling, and floor. That was profane. Stone was not to be trod upon. But what was he to do? He was Truthless. He did as his masters demanded.",0.041,0.959,0.0,-0.3291
The Way of Kings,2,prologue,prologue,Szeth,1,18,49,"Today, that included wearing white. Loose white trousers tied at the waist with a rope, and over them a filmy shirt with long sleeves, open at the front. White clothing for a killer was a tradition among the Parshendi. Although Szeth had not asked, his masters had explained why.",0.123,0.877,0.0,-0.765
The Way of Kings,2,prologue,prologue,Szeth,1,19,15,White to be bold. White to not blend into the night. White to give warning.,0.133,0.722,0.144,0.0516
The Way of Kings,2,prologue,prologue,Szeth,1,20,16,"For if you were going to assassinate a man, he was entitled to see you coming.",0.0,0.877,0.123,0.2732
The Way of Kings,2,prologue,prologue,Szeth,1,21,103,"Szeth turned right, taking the hallway directly toward the king's chambers. Torches burned on the walls, their light unsatisfying to him, a meal of thin broth after a long fast. Flamespren danced around them, like large insects made solely of congealed light. The torches were useless to him. He reached for his pouch and the spheres it contained, but then hesitated when he saw more of the blue lights ahead: a pair of Stormlight lamps hanging on the wall, brilliant sapphires glowing at their hearts. Szeth walked up to one of these, holding out his hand to cup it around the glass-shrouded gemstone.",0.041,0.805,0.154,0.9387
The Way of Kings,2,prologue,prologue,Szeth,1,22,41,"""You there!"" a voice called in Alethi. There were two guards at the intersection. Double guard, for there were savages abroad in Kholinar this night. True, those savages were supposed to be allies now. But alliances could be shallow things indeed.",0.105,0.852,0.043,-0.4199
The Way of Kings,2,prologue,prologue,Szeth,1,23,6,This one wouldn't last the hour.,0.0,1.0,0.0,0.0
The Way of Kings,2,prologue,prologue,Szeth,1,24,46,"Szeth looked as the two guards approached. They carried spears; they weren't lighteyes, and were therefore forbidden the sword. Their painted blue breastplates were ornate, however, as were their helms. They might be darkeyed, but they were high-ranking citizens with honored positions in the royal guard.",0.037,0.861,0.102,0.6486
The Way of Kings,2,prologue,prologue,Szeth,1,25,46,"Stopping a few feet away, the guard at the front gestured with his spear. ""Go on, now. This is no place for you."" He had tan Alethi skin and a thin mustache that ran all the way around his mouth, becoming a beard at the bottom.",0.079,0.921,0.0,-0.4215
The Way of Kings,2,prologue,prologue,Szeth,1,26,3,Szeth didn't move.,0.0,1.0,0.0,0.0
The Way of Kings,2,prologue,prologue,Szeth,1,27,9,"""Well?"" the guard said. ""What are you waiting for?""",0.0,0.765,0.235,0.3527
The Way of Kings,2,prologue,prologue,Szeth,1,28,56,"Szeth breathed in deeply, drawing forth the Stormlight. It streamed into him, siphoned from the twin sapphire lamps on the walls, sucked in as if by his deep inhalation. The Stormlight raged inside of him, and the hallway suddenly grew darker, falling into shade like a hilltop cut off from the sun by a transient cloud.",0.153,0.807,0.04,-0.7351
The Way of Kings,2,prologue,prologue,Szeth,1,29,36,"Szeth could feel the Light's warmth, its fury, like a tempest that had been injected directly into his veins. The power of it was invigorating but dangerous. It pushed him to act. To move. To strike.",0.187,0.681,0.132,-0.5346
The Way of Kings,2,prologue,prologue,Szeth,1,30,68,"Holding his breath, he clung to the Stormlight. He could still feel it leaking out. Stormlight could be held for only a short time, a few minutes at most. It leaked away, the human body too porous a container. He had heard that the Voidbringers could hold it in perfectly. But, then, did they even exist? His punishment declared that they didn't. His honor demanded that they did.",0.124,0.817,0.06,-0.7124
The Way of Kings,2,prologue,prologue,Szeth,1,31,62,"Afire with holy energy, Szeth turned to the guards. They could see that he was leaking Stormlight, wisps of it curling from his skin like luminescent smoke. The lead guard squinted, frowning. Szeth was sure the man had never seen anything like it before. As far as he knew, Szeth had killed every stonewalker who had ever seen what he could do.",0.125,0.779,0.096,-0.4784
The Way of Kings,2,prologue,prologue,Szeth,1,32,15,"""What ... what are you?"" The guard's voice had lost its certainty. ""Spirit or man?""",0.125,0.654,0.221,0.1926
The Way of Kings,2,prologue,prologue,Szeth,1,33,26,"""What am I?"" Szeth whispered, a bit of Light leaking from his lips as he looked past the man down the long hallway. ""I'm ... sorry.""",0.049,0.951,0.0,-0.0772
The Way of Kings,2,prologue,prologue,Szeth,1,34,48,"Szeth blinked, Lashing himself to that distant point down the hallway. Stormlight raged from him in a flash, chilling his skin, and the ground immediately stopped pulling him downward. Instead, he was pulled toward that distant point---it was as if, to him, that direction had suddenly become *down.*",0.113,0.887,0.0,-0.6124
The Way of Kings,2,prologue,prologue,Szeth,1,35,48,"This was a Basic Lashing, first of his three kinds of Lashings. It gave him the ability to manipulate whatever force, spren, or god it was that held men to the ground. With this Lashing, he could bind people or objects to different surfaces or in different directions.",0.0,0.913,0.087,0.5267
The Way of Kings,2,prologue,prologue,Szeth,1,36,85,"From Szeth's perspective, the hallway was now a deep shaft down which he was falling, and the two guards stood on one of the sides. They were shocked when Szeth's feet hit them, one for each face, throwing them over. Szeth shifted his view and Lashed himself to the floor. Light leaked from him. The floor of the hallway again became *down*, and he landed between the two guards, clothes crackling and dropping flakes of frost. He rose, beginning the process of summoning his Shardblade.",0.07,0.93,0.0,-0.6369
The Way of Kings,2,prologue,prologue,Szeth,1,37,44,"One of the guards fumbled for his spear. Szeth reached down, touching the soldier's shoulder while looking up. He focused on a point above him while willing the Light out of his body and into the guard, Lashing the poor man to the ceiling.",0.064,0.852,0.083,-0.0258
The Way of Kings,2,prologue,prologue,Szeth,1,38,39,"The guard yelped in shock as *up* became *down* for him. Light trailing from his form, he crashed into the ceiling and dropped his spear. It was not Lashed directly, and clattered back down to the floor near Szeth.",0.064,0.936,0.0,-0.3818
The Way of Kings,2,prologue,prologue,Szeth,1,39,38,"To kill. It was the greatest of sins. And yet here Szeth stood, Truthless, profanely walking on stones used for building. And it would not end. As Truthless, there was only one life he was forbidden to take.",0.216,0.698,0.086,-0.743
The Way of Kings,2,prologue,prologue,Szeth,1,40,5,And that was his own.,0.0,1.0,0.0,0.0
The Way of Kings,2,prologue,prologue,Szeth,1,41,59,"At the tenth beat of his heart, his Shardblade dropped into his waiting hand. It formed as if condensing from mist, water beading along the metal length. His Shardblade was long and thin, edged on both sides, smaller than most others. Szeth swept it out, carving a line in the stone floor and passing through the second guard's neck.",0.0,0.885,0.115,0.8126
The Way of Kings,2,prologue,prologue,Szeth,1,42,68,"As always, the Shardblade killed oddly; though it cut easily through stone, steel, or anything inanimate, the metal fuzzed when it touched living skin. It traveled through the guard's neck without leaving a mark, but once it did, the man's eyes smoked and burned. They blackened, shriveling up in his head, and he slumped forward, dead. A Shardblade did not cut living flesh; it severed the soul itself.",0.17,0.781,0.049,-0.8905
The Way of Kings,2,prologue,prologue,Szeth,1,43,34,"Above, the first guard gasped. He'd managed to get to his feet, even though they were planted on the ceiling of the hallway. ""Shardbearer!"" he shouted. ""A Shardbearer assaults the king's hall! To arms!""",0.117,0.883,0.0,-0.6571
The Way of Kings,2,prologue,prologue,Szeth,1,44,21,"*Finally*, Szeth thought. Szeth's use of Stormlight was unfamiliar to the guards, but they knew a Shardblade when they saw one.",0.0,1.0,0.0,0.0
The Way of Kings,2,prologue,prologue,Szeth,1,45,68,"Szeth bent down and picked up the spear that had fallen from above. As he did so, he released the breath he'd been holding since drawing in the Stormlight. It sustained him while he held it, but those two lanterns hadn't contained much of it, so he would need to breathe again soon. The Light began to leak away more quickly, now that he wasn't holding his breath.",0.068,0.932,0.0,-0.5927
The Way of Kings,2,prologue,prologue,Szeth,1,46,43,"Szeth set the spear's butt against the stone floor, then looked upward. The guard above stopped shouting, eyes opening wide as the tails of his shirt began to slip downward, the earth below reasserting its dominance. The Light steaming off his body dwindled.",0.043,0.917,0.04,-0.0258
The Way of Kings,2,prologue,prologue,Szeth,1,47,25,He looked down at Szeth. Down at the spear tip pointing directly at his heart. Violet fearspren crawled out of the stone ceiling around him.,0.0,0.851,0.149,0.6369
The Way of Kings,2,prologue,prologue,Szeth,1,48,7,The Light ran out. The guard fell.,0.0,1.0,0.0,0.0
The Way of Kings,2,prologue,prologue,Szeth,1,49,76,"He screamed as he hit, the spear impaling him through the chest. Szeth let the spear fall away, carried to the ground with a muffled thump by the body twitching on its end. Shardblade in hand, he turned down a side corridor, following the map he'd memorized. He ducked around a corner and flattened himself against the wall just as a troop of guards reached the dead men. The newcomers began shouting immediately, continuing the alarm.",0.106,0.839,0.054,-0.6597
The Way of Kings,2,prologue,prologue,Szeth,1,50,44,"His instructions were clear. Kill the king, but be seen doing it. Let the Alethi know he was coming and what he was doing. Why? Why did the Parshendi agree to this treaty, only to send an assassin the very night of its signing?",0.058,0.832,0.11,0.3736
The Way of Kings,2,prologue,prologue,Szeth,1,51,56,"More gemstones glowed on the walls of the hallway here. King Gavilar liked lavish display, and he couldn't know that he was leaving sources of power for Szeth to use in his Lashings. The things Szeth did hadn't been seen for millennia. Histories from those times were all but nonexistent, and the legends were horribly inaccurate.",0.076,0.893,0.031,-0.5719
The Way of Kings,2,prologue,prologue,Szeth,1,52,81,"Szeth peeked back out into the corridor. One of the guards at the intersection saw him, pointing and yelling. Szeth made sure they got a good look, then ducked away. He took a deep breath as he ran, drawing in Stormlight from the lanterns. His body came alive with it, and his speed increased, his muscles bursting with energy. Light became a storm inside of him; his blood thundered in his ears. It was terrible and wonderful at the same time.",0.033,0.797,0.169,0.891
The Way of Kings,2,prologue,prologue,Szeth,1,53,85,"Two corridors down, one to the side. He threw open the door of a storage room, then hesitated a moment---just long enough for a guard to round the corner and see him---before dashing into the room. Preparing for a Full Lashing, he raised his arm and commanded the Stormlight to pool there, causing the skin to burst alight with radiance. Then he flung his hand out toward the doorframe, spraying white luminescence across it like paint. He slammed the door just as the guards arrived.",0.024,0.891,0.085,0.7003
The Way of Kings,2,prologue,prologue,Szeth,1,54,67,"The Stormlight held the door in the frame with the strength of a hundred arms. A Full Lashing bound objects together, holding them fast until the Stormlight ran out. It took longer to create---and drained Stormlight far more quickly---than a Basic Lashing. The door handle shook, and then the wood began to crack as the guards threw their weight against it, one man calling for an axe.",0.069,0.862,0.069,0.25
The Way of Kings,2,prologue,prologue,Szeth,1,55,84,"Szeth crossed the room in rapid strides, weaving around the shrouded furniture that had been stored here. It was of red cloth and deep expensive woods. He reached the far wall and---preparing himself for yet another blasphemy---he raised his Shardblade and slashed horizontally through the dark grey stone. The rock sliced easily; a Shardblade could cut any inanimate object. Two vertical slashes followed, then one across the bottom, cutting a large square block. He pressed his hand against it, willing Stormlight into the stone.",0.105,0.811,0.084,-0.25
The Way of Kings,2,prologue,prologue,Szeth,1,56,51,"Behind him the room's door began to crack. He looked over his shoulder and focused on the shaking door, Lashing the block in that direction. Frost crystallized on his clothing---Lashing something so large required a great deal of Stormlight. The tempest within him stilled, like a storm reduced to a drizzle.",0.074,0.777,0.149,0.6808
The Way of Kings,2,prologue,prologue,Szeth,1,57,69,"He stepped aside. The large stone block shuddered, sliding into the room. Normally, moving the block would have been impossible. Its own weight would have held it against the stones below. Yet now, that same weight pulled it free; for the block, the direction of the room's door was *down.* With a deep grinding sound, the block slid free of the wall and tumbled through the air, smashing furniture.",0.143,0.776,0.081,-0.6124
The Way of Kings,2,prologue,prologue,Szeth,1,58,19,"The soldiers finally broke through the door, staggering into the room just as the enormous block crashed into them.",0.261,0.739,0.0,-0.7178
The Way of Kings,2,prologue,prologue,Szeth,1,59,31,"Szeth turned his back on the terrible sound of the screams, the splintering of wood, the breaking of bones. He ducked and stepped through his new hole, entering the hallway outside.",0.155,0.845,0.0,-0.6486
The Way of Kings,2,prologue,prologue,Szeth,1,60,67,"He walked slowly, drawing Stormlight from the lamps he passed, siphoning it to him and stoking anew the tempest within. As the lamps dimmed, the corridor darkened. A thick wooden door stood at the end, and as he approached, small fearspren---shaped like globs of purple goo---began to wriggle from the masonry, pointing toward the doorway. They were drawn by the terror being felt on the other side.",0.045,0.921,0.033,-0.2263
The Way of Kings,2,prologue,prologue,Szeth,1,61,42,"Szeth pushed the door open, entering the last corridor leading to the king's chambers. Tall, red ceramic vases lined the pathway, and they were interspersed with nervous soldiers. They flanked a long, narrow rug. It was red, like a river of blood.",0.047,0.897,0.056,0.1027
The Way of Kings,2,prologue,prologue,Szeth,1,62,74,"The spearmen in front didn't wait for him to get close. They broke into a trot, lifting their short throwing spears. Szeth slammed his hand to the side, pushing Stormlight into the doorframe, using the third and final type of Lashing, a Reverse Lashing. This one worked differently from the other two. It did not make the doorframe emit Stormlight; indeed, it seemed to pull nearby light *into* it, giving it a strange penumbra.",0.057,0.873,0.07,0.25
The Way of Kings,2,prologue,prologue,Szeth,1,63,37,"The spearmen threw, and Szeth stood still, hand on the doorframe. A Reverse Lashing required his constant touch, but took comparatively little Stormlight. During one, anything that approached him---particularly lighter objects---was instead pulled toward the Lashing itself.",0.0,0.95,0.05,0.2732
